"hg1"	"hg2"	"distance"	"hg1_Hgsubgroup"	"hg1_oneletter"	"hg2_Hgsubgroup"	"hg2_oneletter"	"hg1_MacroPhylo"	"hg2_MacroPhylo"	"ArrayType"	"matched_subgroup"	"matched_oneletter"	"matched_macro"	"matched_haplogroup"	"matched_level"	"Group"	"InLegend"
"B2d"	"B2"	1	"B2"	"B"	"B2"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"A2q*"	"A2q*"	0	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"B2d"	"B2"	1	"B2"	"B"	"B2"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"B2d"	"B2"	1	"B2"	"B"	"B2"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"A2w"	"A2n*2"	4	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"B2d"	"B2"	1	"B2"	"B"	"B2"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"B2d"	"B2"	1	"B2"	"B"	"B2"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"B2d"	"B2c2*"	4	"B2"	"B"	"B2"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"A2am"	"A2am"	0	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"H1b"	"H1b"	0	"H1"	"H"	"H1"	"H"	"HV"	"HV"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"U4b1b1"	"U4b1"	3	"U4"	"U"	"U4"	"U"	"UK"	"UK"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"U4b1b1"	"U4b1"	3	"U4"	"U"	"U4"	"U"	"UK"	"UK"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"A2ah"	"A2"	2	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"H13a1b"	"H13a1b"	0	"H13"	"H"	"H13"	"H"	"HV"	"HV"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"A2*4"	"A2*4"	0	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"L2b1a3"	"L2b1"	2	"L2"	"L"	"L2"	"L"	"L2"	"L2"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"C1b2"	"C1b2"	0	"C1"	"C"	"C1"	"C"	"M8"	"M8"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"B2b3a*1"	"B2b3a"	1	"B2"	"B"	"B2"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"B2b3a*1"	"B2b3a"	1	"B2"	"B"	"B2"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L3b1a+@16124"	"L3b1"	2	"L3"	"L"	"L3"	"L"	"L3"	"L3"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L3b1a+@16124"	"L3b1"	2	"L3"	"L"	"L3"	"L"	"L3"	"L3"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L2c*2"	"L2c"	1	"L2"	"L"	"L2"	"L"	"L2"	"L2"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L1b2a"	"L1b"	3	"L1"	"L"	"L1"	"L"	"L1"	"L1"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L3d4"	"L3d"	2	"L3"	"L"	"L3"	"L"	"L3"	"L3"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"B2d"	"B2"	1	"B2"	"B"	"B2"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"B2d"	"B2"	1	"B2"	"B"	"B2"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"A2w1*2"	"A15"	6	"A2"	"A"	"A15"	"A"	"A"	"A"	"Axiom_APMRA"	0	1	1	0	"3. One-letter"	"Axiom_APMRA"	TRUE
"L0a1b1a"	"L0a"	6	"L0"	"L"	"L0"	"L"	"L0"	"L0"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L0a1b1a"	"L0a"	6	"L0"	"L"	"L0"	"L"	"L0"	"L0"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"A2w"	"A2+(64)"	1	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"M1a1i"	"M1a1i"	0	"M1"	"M"	"M1"	"M"	"M*"	"M*"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"A2w"	"A2+(64)"	1	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"A2w"	"A2+(64)"	1	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"B2d"	"B2"	1	"B2"	"B"	"B2"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L2a1l1b"	"L2a1'2'3'4"	6	"L2"	"L"	"L2"	"L"	"L2"	"L2"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"J1b1a1"	"J1b1a"	1	"J1"	"J"	"J1"	"J"	"JT"	"JT"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"C"	"C1d3"	4	"C"	"C"	"C1"	"C"	"M8"	"M8"	"Axiom_APMRA"	0	1	1	0	"3. One-letter"	"Axiom_APMRA"	TRUE
"A2z"	"A2z"	0	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"A2*4"	"A2*4"	0	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"C"	"C"	0	"C"	"C"	"C"	"C"	"M8"	"M8"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"A2v"	"A2+(64)"	1	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"B2d"	"B2"	1	"B2"	"B"	"B2"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"B2"	"B2"	0	"B2"	"B"	"B2"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"B2"	"B2"	0	"B2"	"B"	"B2"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"A2al"	"A2+(64)"	1	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"B2d"	"B2"	1	"B2"	"B"	"B2"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"A2w*"	"A2w*"	0	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"A2w*"	"A2w*"	0	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"L3b1a+@16124"	"L3b1"	2	"L3"	"L"	"L3"	"L"	"L3"	"L3"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L2a1a2c"	"L2a1a"	2	"L2"	"L"	"L2"	"L"	"L2"	"L2"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L3e1a*"	"L3e1"	2	"L3"	"L"	"L3"	"L"	"L3"	"L3"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"C"	"C"	0	"C"	"C"	"C"	"C"	"M8"	"M8"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"L1c3b1*"	"L1c3b1"	1	"L1"	"L"	"L1"	"L"	"L1"	"L1"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L1c3a1b*1"	"L1c3a"	3	"L1"	"L"	"L1"	"L"	"L1"	"L1"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"B2d"	"B2"	1	"B2"	"B"	"B2"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"A2z"	"A2z"	0	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"L2b1a"	"L2b1"	1	"L2"	"L"	"L2"	"L"	"L2"	"L2"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"T2a1a"	"T2a"	2	"T2"	"T"	"T2"	"T"	"JT"	"JT"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"A2*4"	"A2*4"	0	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"L3e2b3"	"L3e2b3"	0	"L3"	"L"	"L3"	"L"	"L3"	"L3"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"B2d"	"B2"	1	"B2"	"B"	"B2"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"B2d"	"B2"	1	"B2"	"B"	"B2"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"C1d2a"	"C"	5	"C1"	"C"	"C"	"C"	"M8"	"M8"	"Axiom_APMRA"	0	1	1	0	"3. One-letter"	"Axiom_APMRA"	TRUE
"B2b+152"	"B2"	2	"B2"	"B"	"B2"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"T2b4c"	"T2b4c"	0	"T2"	"T"	"T2"	"T"	"JT"	"JT"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"T2b4c"	"T2b4c"	0	"T2"	"T"	"T2"	"T"	"JT"	"JT"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"A2ac1"	"A2x"	3	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"D1f2"	"D1f2"	0	"D1"	"D"	"D1"	"D"	"D"	"D"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"A2+(64)+@153"	"A2d*"	3	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"B2d"	"B2"	1	"B2"	"B"	"B2"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"B2d"	"B2"	1	"B2"	"B"	"B2"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L3e2a1b3"	"L3e2a1b"	1	"L3"	"L"	"L3"	"L"	"L3"	"L3"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"C1c3"	"C1c3"	0	"C1"	"C"	"C1"	"C"	"M8"	"M8"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"C1d1"	"C"	4	"C1"	"C"	"C"	"C"	"M8"	"M8"	"Axiom_APMRA"	0	1	1	0	"3. One-letter"	"Axiom_APMRA"	TRUE
"L2a1c4a"	"L2a1c4a"	0	"L2"	"L"	"L2"	"L"	"L2"	"L2"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"B2d"	"B2"	1	"B2"	"B"	"B2"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"A2w"	"A2+(64)"	1	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"B2b+152"	"B2"	2	"B2"	"B"	"B2"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"A2+(64)+@153"	"A2d*"	3	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"B2d"	"B2"	1	"B2"	"B"	"B2"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"H6a1a7"	"H6a1a"	1	"H6"	"H"	"H6"	"H"	"HV"	"HV"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L3e4a"	"L3e4"	1	"L3"	"L"	"L3"	"L"	"L3"	"L3"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"C1d1d"	"C"	5	"C1"	"C"	"C"	"C"	"M8"	"M8"	"Axiom_APMRA"	0	1	1	0	"3. One-letter"	"Axiom_APMRA"	TRUE
"A2+(64)"	"A2+(64)"	0	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"A2"	"A2"	0	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"C"	"C5a"	2	"C"	"C"	"C5"	"C"	"M8"	"M8"	"Axiom_APMRA"	0	1	1	0	"3. One-letter"	"Axiom_APMRA"	TRUE
"B2y"	"B2"	1	"B2"	"B"	"B2"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"B2y"	"B2"	1	"B2"	"B"	"B2"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"D1"	"D4"	1	"D1"	"D"	"D4"	"D"	"D"	"D"	"Axiom_APMRA"	0	1	1	0	"3. One-letter"	"Axiom_APMRA"	TRUE
"D1"	"D4"	1	"D1"	"D"	"D4"	"D"	"D"	"D"	"Axiom_APMRA"	0	1	1	0	"3. One-letter"	"Axiom_APMRA"	TRUE
"D1"	"D4"	1	"D1"	"D"	"D4"	"D"	"D"	"D"	"Axiom_APMRA"	0	1	1	0	"3. One-letter"	"Axiom_APMRA"	TRUE
"A2+(64)"	"A2+(64)"	0	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"B2"	"B2"	0	"B2"	"B"	"B2"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"D1"	"D4"	1	"D1"	"D"	"D4"	"D"	"D"	"D"	"Axiom_APMRA"	0	1	1	0	"3. One-letter"	"Axiom_APMRA"	TRUE
"A2+(64)"	"A2+(64)"	0	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"A2+(64)"	"A2+(64)"	0	"A2"	"A"	"A2"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"B2"	"B2"	0	"B2"	"B"	"B2"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"D1"	"D4"	1	"D1"	"D"	"D4"	"D"	"D"	"D"	"Axiom_APMRA"	0	1	1	0	"3. One-letter"	"Axiom_APMRA"	TRUE
"B2"	"B2b2"	2	"B2"	"B"	"B2"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"B2b"	"B2"	1	"B2"	"B"	"B2"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"B2b"	"B2"	1	"B2"	"B"	"B2"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
